week_window_start,week_window_end,event_id,event_date,home_team_id,home_team,away_team_id,away_team,team_id,team_name,player_id,player_name,position,college,hometown,years_experience
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4570242,Nick Nash,WR,San José State,"{'city': 'Irvine', 'state': 'CA', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4693369,Jack Nelson,OT,Wisconsin,"{'city': 'Stoughton', 'state': 'WI', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4036444,Ryan Neuzil,G,App State,"{'city': 'Bradenton', 'state': 'FL', 'country': 'USA'}",4
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,2973014,Storm Norton,OT,Toledo,"{'city': 'Toledo', 'state': 'OH', 'country': 'USA'}",6
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3072292,Brandon Parker,OT,North Carolina A&T,"{'city': 'Kannapolis', 'state': 'NC', 'country': 'USA'}",8
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4360423,Michael Penix Jr.,QB,Washington,"{'city': 'Tampa', 'state': 'FL', 'country': 'USA'}",2
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4360248,Kyle Pitts Sr.,TE,Florida,"{'city': 'Philadelphia', 'state': 'PA', 'country': 'USA'}",5
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4374045,Teagan Quitoriano,TE,Oregon State,"{'city': 'Salem', 'state': 'OR', 'country': 'USA'}",4
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4430807,Bijan Robinson,RB,Texas,"{'city': 'Tucson', 'state': 'AZ', 'country': 'USA'}",3
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3871102,David Sills V,WR,West Virginia,"{'city': 'Wilmington', 'state': 'DE', 'country': 'USA'}",3
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4430482,Joshua Simon,TE,South Carolina,"{'city': 'Dalzell', 'state': 'SC', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4572380,Quincy Skinner Jr.,WR,Vanderbilt,"{'city': 'Pompano Beach', 'state': 'FL', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3120590,Easton Stick,QB,North Dakota State,"{'city': 'Omaha', 'state': 'NE', 'country': 'USA'}",6
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4428796,Casey Washington,WR,Illinois,"{'city': 'Round Rock', 'state': 'TX', 'country': 'USA'}",2
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4248425,Carlos Washington Jr.,RB,SE Louisiana,"{'city': 'Clinton', 'state': 'MD', 'country': 'USA'}",1
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3059839,Elijah Wilkinson,OT,Massachusetts,"{'city': 'Downingtown', 'state': 'PA', 'country': 'USA'}",9
