player,player_id,team,receptions,rec_yards,rec_tds,ypr,headshot,position
Jaxon Smith-Njigba,4430878,SEA,9.0,124.0,0.0,13.78,https://a.espncdn.com/i/headshots/nfl/players/full/4430878.png,WR
Cooper Kupp,2977187,SEA,2.0,15.0,0.0,7.5,https://a.espncdn.com/i/headshots/nfl/players/full/2977187.png,WR
Elijah Arroyo,4678006,SEA,1.0,7.0,0.0,7.0,https://a.espncdn.com/i/headshots/nfl/players/full/4678006.png,WR
Kenneth Walker III,4567048,SEA,3.0,4.0,0.0,1.33,https://a.espncdn.com/i/headshots/nfl/players/full/4567048.png,WR
AJ Barner,4576297,SEA,1.0,0.0,0.0,0.0,https://a.espncdn.com/i/headshots/nfl/players/full/4576297.png,WR
Sam LaPorta,4430027,DET,6.0,79.0,0.0,13.17,https://a.espncdn.com/i/headshots/nfl/players/full/4430027.png,WR
Amon-Ra St. Brown,4374302,DET,4.0,45.0,0.0,11.25,https://a.espncdn.com/i/headshots/nfl/players/full/4374302.png,WR
Jahmyr Gibbs,4429795,DET,10.0,31.0,0.0,3.1,https://a.espncdn.com/i/headshots/nfl/players/full/4429795.png,WR
Jameson Williams,4426388,DET,4.0,23.0,0.0,5.75,https://a.espncdn.com/i/headshots/nfl/players/full/4426388.png,WR
David Montgomery,4035538,DET,4.0,18.0,0.0,4.5,https://a.espncdn.com/i/headshots/nfl/players/full/4035538.png,WR
Kalif Raymond,2973405,DET,2.0,16.0,0.0,8.0,https://a.espncdn.com/i/headshots/nfl/players/full/2973405.png,WR
Isaac TeSlaa,5123663,DET,1.0,13.0,1.0,13.0,https://a.espncdn.com/i/headshots/nfl/players/full/5123663.png,WR
Romeo Doubs,4361432,GB,2.0,68.0,0.0,34.0,https://a.espncdn.com/i/headshots/nfl/players/full/4361432.png,WR
Jayden Reed,4362249,GB,3.0,45.0,1.0,15.0,https://a.espncdn.com/i/headshots/nfl/players/full/4362249.png,WR
Dontayvion Wicks,4428850,GB,2.0,30.0,0.0,15.0,https://a.espncdn.com/i/headshots/nfl/players/full/4428850.png,WR
Tucker Kraft,4572680,GB,2.0,16.0,1.0,8.0,https://a.espncdn.com/i/headshots/nfl/players/full/4572680.png,WR
Matthew Golden,4701936,GB,2.0,16.0,0.0,8.0,https://a.espncdn.com/i/headshots/nfl/players/full/4701936.png,WR
Josh Jacobs,4047365,GB,1.0,4.0,0.0,4.0,https://a.espncdn.com/i/headshots/nfl/players/full/4047365.png,WR
Luke Musgrave,4428085,GB,1.0,4.0,0.0,4.0,https://a.espncdn.com/i/headshots/nfl/players/full/4428085.png,WR
Chris Brooks,3149687,GB,1.0,2.0,0.0,2.0,https://a.espncdn.com/i/headshots/nfl/players/full/3149687.png,WR
John FitzPatrick,4379401,GB,1.0,2.0,0.0,2.0,https://a.espncdn.com/i/headshots/nfl/players/full/4379401.png,WR
Savion Williams,4431487,GB,1.0,1.0,0.0,1.0,https://a.espncdn.com/i/headshots/nfl/players/full/4431487.png,WR
Jayden Higgins,4877706,HOU,2.0,32.0,0.0,16.0,https://a.espncdn.com/i/headshots/nfl/players/full/4877706.png,WR
Xavier Hutchinson,4686422,HOU,2.0,30.0,0.0,15.0,https://a.espncdn.com/i/headshots/nfl/players/full/4686422.png,WR
Dalton Schultz,3117256,HOU,3.0,28.0,0.0,9.33,https://a.espncdn.com/i/headshots/nfl/players/full/3117256.png,WR
Justin Watson,3118892,HOU,2.0,27.0,0.0,13.5,https://a.espncdn.com/i/headshots/nfl/players/full/3118892.png,WR
Nico Collins,4258173,HOU,3.0,25.0,0.0,8.33,https://a.espncdn.com/i/headshots/nfl/players/full/4258173.png,WR
Cade Stover,4426496,HOU,4.0,22.0,0.0,5.5,https://a.espncdn.com/i/headshots/nfl/players/full/4426496.png,WR
Dare Ogunbowale,2983509,HOU,2.0,17.0,0.0,8.5,https://a.espncdn.com/i/headshots/nfl/players/full/2983509.png,WR
Jaylin Noel,4586312,HOU,1.0,7.0,0.0,7.0,https://a.espncdn.com/i/headshots/nfl/players/full/4586312.png,WR
Puka Nacua,4426515,LAR,10.0,130.0,0.0,13.0,https://a.espncdn.com/i/headshots/nfl/players/full/4426515.png,WR
Davante Adams,16800,LAR,4.0,51.0,0.0,12.75,https://a.espncdn.com/i/headshots/nfl/players/full/16800.png,WR
Xavier Smith,4386544,LAR,1.0,36.0,0.0,36.0,https://a.espncdn.com/i/headshots/nfl/players/full/4386544.png,WR
Blake Corum,4429096,LAR,1.0,14.0,0.0,14.0,https://a.espncdn.com/i/headshots/nfl/players/full/4429096.png,WR
Davis Allen,4426553,LAR,1.0,13.0,1.0,13.0,https://a.espncdn.com/i/headshots/nfl/players/full/4426553.png,WR
Tutu Atwell,4360797,LAR,1.0,4.0,0.0,4.0,https://a.espncdn.com/i/headshots/nfl/players/full/4360797.png,WR
